Name,Longitude,Latitude,Image,Date
Henry,-79.959091,40.459456,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,11/26/2024
Isla,-79.959551,40.431736,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,07/10/2024
Jack,-79.950085,40.469904,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,04/03/2024
Kara,-79.915803,40.444487,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,07/27/2024
Liam,-80.03249,40.371169,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,01/16/2024
Mona,-79.926687,40.484731,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,04/05/2025
Noah,-79.99643,40.439977,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,03/08/2025
Olivia,-79.961654,40.387089,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,08/13/2025
Peter,-79.918531,40.362009,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,04/12/2025
Queen,-79.963631,40.408126,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,11/28/2024
Ron,-79.902562,40.367153,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,10/23/2024
Sara,-80.038013,40.454632,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,10/27/2024
Tom,-79.955044,40.414595,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,06/25/2025
Ursula,-79.999565,40.477354,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,03/03/2025
Vince,-79.932488,40.464643,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,03/27/2025
Willow,-80.004791,40.491231,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,07/10/2025
Xenia,-80.025741,40.470456,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,10/23/2024
